threshold,selected_count,approval_rate,expected_profit,realized_profit,approved_default_rate,profit_per_funded_dollar
-0.779622,187863,0.9999946770003832,-71596751.79358725,-147081110.2247079,0.23989290067762145,-0.026878124182806624
-0.166636,169101,0.9001245581910318,6871573.072005795,-101193995.7935311,0.22039491191654692,0.0029387932501945577
-0.107411,150291,0.7999989354000766,44373663.825112246,-75728961.85223064,0.2061201269537098,0.02153178521409019
-0.066031,131536,0.7001660775880424,66680805.53647944,-56963391.15420105,0.19355157523415642,0.037041155438155976
-0.031491,112718,0.5999978708001533,78987484.60363863,-40376726.62674703,0.18092052733370004,0.051111217191437915
-0.007289,93932,0.5,83687552.17459719,-28638058.81039562,0.17110249968062002,0.06424684297225167
0.014485,75113,0.3998264702124941,82477319.04601589,-21817338.07337958,0.1666688855457777,0.07817206858638746
0.031983,56402,0.30022782438359663,77014775.83874387,-17135064.076317914,0.1673699514201624,0.09372036250864746
0.05159,37451,0.19935165864668059,67046294.233038425,-15884990.472317902,0.18480147392592988,0.11418909274312634
0.08467,18787,0.10000319379977005,51446470.46660989,-11862494.19168749,0.23117049023260766,0.14776308596620355
0.708123,0,0.0,0.0,0.0,0.0,0.0
